epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0397,2.06205,2.55748,1.94742,0.21621,0.36047,0.1758,0.05396,2.59257,3.46622,2.44397,0.000544771,0.000544771,0.000544771
2,23.6395,2.01617,2.28146,1.8969,0.16447,0.29632,0.11665,0.03654,2.56188,7.62368,2.64231,0.00107865,0.00107865,0.00107865
3,35.0007,2.08407,2.36437,1.9446,0.1342,0.15965,0.07037,0.02476,2.94852,5.23426,2.9013,0.00159052,0.00159052,0.00159052
4,46.3836,2.11554,2.37863,1.96213,0.13903,0.25282,0.08044,0.02792,2.73288,4.8826,2.51578,0.00156798,0.00156798,0.00156798
5,57.757,2.05926,2.38712,1.95204,0.18962,0.27676,0.1165,0.03821,2.50253,4.26526,2.42955,0.00153497,0.00153497,0.00153497
6,69.2618,2.07572,2.32009,1.94192,0.26995,0.19708,0.12053,0.03639,2.42864,3.53257,2.22674,0.00150197,0.00150197,0.00150197
7,80.7801,2.04291,2.31241,1.92409,0.21731,0.40113,0.19111,0.06695,2.32703,3.04015,2.18698,0.00146896,0.00146896,0.00146896
8,92.6168,1.9641,2.2014,1.87532,0.25618,0.30687,0.20773,0.07183,2.36355,2.70566,2.18094,0.00143595,0.00143595,0.00143595
9,104.372,1.95779,2.13734,1.85974,0.33812,0.3924,0.26076,0.0975,2.23077,2.59252,2.09021,0.00140295,0.00140295,0.00140295
10,116.867,1.96303,2.21838,1.87782,0.35181,0.34329,0.24991,0.08769,2.29089,2.42107,2.13814,0.00136994,0.00136994,0.00136994
11,128.418,1.922,2.16308,1.84329,0.33231,0.36187,0.24534,0.10097,2.15614,2.44619,2.02254,0.00133693,0.00133693,0.00133693
12,140.496,1.91962,2.12437,1.83176,0.37451,0.36691,0.27233,0.10121,2.27352,2.39184,2.11219,0.00130393,0.00130393,0.00130393
13,152.225,1.84255,2.02704,1.77757,0.44284,0.33291,0.28246,0.11191,2.20348,2.34884,2.04455,0.00127092,0.00127092,0.00127092
14,163.967,1.84986,2.10725,1.80174,0.33943,0.39893,0.31428,0.12947,2.18122,2.1737,2.05964,0.00123791,0.00123791,0.00123791
15,175.917,1.78714,2.21292,1.76798,0.42653,0.39487,0.30167,0.11467,2.19835,2.29466,2.06719,0.00120491,0.00120491,0.00120491
16,187.528,1.79654,1.98488,1.75743,0.48823,0.40657,0.32626,0.13027,2.17243,2.17099,2.04473,0.0011719,0.0011719,0.0011719
17,199.467,1.82112,1.98358,1.77685,0.49397,0.4047,0.35302,0.13699,2.15504,2.23374,2.02373,0.00113889,0.00113889,0.00113889
18,211.209,1.80709,1.97809,1.74691,0.44186,0.44005,0.3372,0.13818,2.19236,2.12819,2.0328,0.00110589,0.00110589,0.00110589
19,222.876,1.80719,1.95118,1.74901,0.42046,0.38049,0.31275,0.13444,2.15089,2.13026,2.01364,0.00107288,0.00107288,0.00107288
20,234.49,1.7979,1.93021,1.76078,0.48068,0.43007,0.35793,0.13372,2.10393,2.22004,1.94347,0.00103987,0.00103987,0.00103987
21,246.124,1.76395,1.9148,1.72338,0.44507,0.45139,0.3613,0.14082,2.14632,2.24078,2.01934,0.00100687,0.00100687,0.00100687
22,258.2,1.80952,1.92444,1.73791,0.48921,0.43818,0.37105,0.15645,2.08066,2.06195,1.94169,0.000973861,0.000973861,0.000973861
23,270.154,1.71919,1.89904,1.70079,0.44145,0.42218,0.35269,0.15293,2.0831,2.07121,1.96066,0.000940855,0.000940855,0.000940855
24,281.812,1.71469,1.80747,1.6896,0.45841,0.42136,0.34743,0.14455,2.10034,2.06432,1.97583,0.000907848,0.000907848,0.000907848
25,293.349,1.71058,1.82513,1.67061,0.4478,0.45686,0.36736,0.15042,2.1267,2.04874,1.98438,0.000874842,0.000874842,0.000874842
26,304.926,1.69511,1.76503,1.67305,0.55244,0.41654,0.37397,0.15686,2.11687,2.00379,1.9685,0.000841835,0.000841835,0.000841835
27,316.807,1.69317,1.80827,1.67587,0.52695,0.45361,0.38044,0.16671,2.03162,1.99979,1.92304,0.000808828,0.000808828,0.000808828
28,328.655,1.68658,1.7485,1.68133,0.50843,0.44801,0.38312,0.1641,2.10858,2.01087,1.99289,0.000775822,0.000775822,0.000775822
29,340.291,1.64688,1.73586,1.65398,0.55846,0.40346,0.37601,0.16188,2.14155,2.0448,2.01382,0.000742815,0.000742815,0.000742815
30,351.904,1.64809,1.72688,1.65685,0.50882,0.4497,0.38591,0.1622,2.12741,1.96559,1.98854,0.000709809,0.000709809,0.000709809
